"","Date","610","657","653","608","656","mean"
"132",1980-05-11,1.02,0,0,NA,0,0.255
"133",1980-05-12,0,0,15.6,NA,0,3.9
"134",1980-05-13,0.51,0,0,NA,23,5.8775
"135",1980-05-14,38.1,14.5,0,NA,0,13.15
"136",1980-05-15,0,0,19,NA,0,4.75
"137",1980-05-16,0,9,0,NA,6.7,3.925
"138",1980-05-17,NA,0,0,NA,0,0
"139",1980-05-18,0,0,0,NA,0,0
"140",1980-05-19,0,0,0,NA,0,0
"141",1980-05-20,0,0,0,NA,0,0
"142",1980-05-21,0,0,0,NA,0,0
"143",1980-05-22,0,0,19,NA,0,4.75
"144",1980-05-23,0.51,18,0,NA,18.5,9.2525
"145",1980-05-24,13.97,15,4,NA,0.5,8.3675
"146",1980-05-25,5.08,2.5,0,NA,0,1.895
"147",1980-05-26,5.08,1,0,NA,0,1.52
"148",1980-05-27,2.03,0,0,NA,0,0.5075
"149",1980-05-28,0,0,0,NA,0,0
"150",1980-05-29,0,0,0,NA,0,0
"151",1980-05-30,0,0,0,NA,0,0
"152",1980-05-31,0,0,0,NA,0,0
"153",1980-06-01,0,0,0,NA,0,0
"154",1980-06-02,0,0,0,NA,0,0
"155",1980-06-03,0,0,0,NA,0,0
"156",1980-06-04,0,0,0,NA,0,0
"157",1980-06-05,0,0,0,NA,0,0
"158",1980-06-06,0,0,0,NA,0,0
"159",1980-06-07,0,0,0,NA,0,0
"160",1980-06-08,0,0,0,NA,0,0
"161",1980-06-09,0,0,0,NA,0,0
"162",1980-06-10,0,0,0,NA,0,0
"163",1980-06-11,0,0,0,NA,0,0
"164",1980-06-12,0,0,3.5,NA,0,0.875
"165",1980-06-13,0,0.2,1,NA,0,0.3
"166",1980-06-14,3.05,0,0,NA,1.3,1.0875
"167",1980-06-15,0,0,0,NA,0,0
"168",1980-06-16,1.02,0,0,NA,0,0.255
"169",1980-06-17,0,0,0,NA,0,0
"170",1980-06-18,0,0,0,NA,0,0
"171",1980-06-19,0,0,10,NA,0,2.5
"172",1980-06-20,0,9,3.3,NA,1.4,3.425
"173",1980-06-21,6.1,4,0,NA,0,2.525
"174",1980-06-22,1.02,0,0,NA,0,0.255
"175",1980-06-23,0.51,0,0,NA,0,0.1275
"176",1980-06-24,1.02,0,0,NA,0,0.255
"177",1980-06-25,2.03,0,23,NA,0,6.2575
"178",1980-06-26,0,22,15,NA,16.3,13.325
"179",1980-06-27,NA,12,4.2,NA,13.5,9.9
"180",1980-06-28,25.91,3,0,NA,0.7,7.4025
"181",1980-06-29,4.06,0,0,NA,0,1.015
"182",1980-06-30,0.25,0,0,NA,0,0.0625
"183",1980-07-01,0,0,0,NA,0,0
"184",1980-07-02,0,0,0,NA,0,0
"185",1980-07-03,0,0,0,NA,0,0
"186",1980-07-04,0,0,0,NA,0,0
"187",1980-07-05,0,0,0,NA,0,0
"188",1980-07-06,0,0,0,NA,0,0
"189",1980-07-07,0,0,0,NA,0,0
"190",1980-07-08,0,0,0,NA,0,0
"191",1980-07-09,0,0,0,NA,0,0
"192",1980-07-10,0,0,5.5,NA,0,1.375
"193",1980-07-11,0,11,12.5,NA,3.8,6.825
"194",1980-07-12,10.92,18.5,1.6,NA,1.3,8.08
"195",1980-07-13,3.05,0,0,NA,0,0.7625
"196",1980-07-14,0,0,0,NA,0,0
"197",1980-07-15,0,0,0,NA,0,0
"198",1980-07-16,1.02,0,0,NA,0,0.255
"199",1980-07-17,0,0,0,NA,0,0
"200",1980-07-18,0,4,0,NA,0,1
"201",1980-07-19,0,0,0,NA,0,0
"202",1980-07-20,NA,0,0,NA,0,0
"203",1980-07-21,0,0,0,NA,0,0
"204",1980-07-22,0,0,0,NA,0,0
"205",1980-07-23,2.03,0,0,NA,0,0.5075
"206",1980-07-24,0,0,0,NA,0,0
"207",1980-07-25,0,0,0,NA,0,0
"208",1980-07-26,0,0,0,NA,0,0
"209",1980-07-27,0,0,0,NA,0,0
"210",1980-07-28,0,0,1.5,NA,0,0.375
"211",1980-07-29,0,1.5,15.5,NA,0,4.25
"212",1980-07-30,1.02,11,0,NA,5.4,4.355
"213",1980-07-31,10.92,0,0,NA,0,2.73
"214",1980-08-01,0,0,0,NA,0,0
"215",1980-08-02,0,0,0,NA,0,0
"216",1980-08-03,0,0,0,NA,0,0
"217",1980-08-04,0,0,0,NA,0,0
"218",1980-08-05,0,0,1,NA,0,0.25
"219",1980-08-06,0,2,0,NA,0,0.5
"220",1980-08-07,2.03,0,0,NA,0,0.5075
"221",1980-08-08,0,0,0,NA,0,0
"222",1980-08-09,0,0,0,NA,0,0
"223",1980-08-10,0,0,1.5,NA,0,0.375
"224",1980-08-11,0,2,32,NA,0,8.5
"225",1980-08-12,0,16.5,1.5,NA,42.3,15.075
"226",1980-08-13,22.1,3.5,0,NA,0.6,6.55
"227",1980-08-14,0.51,0,0,NA,0,0.1275
